"Identificador de URL";"Nombre";"Categorías";"Imagen";"Precio";"Stock";"Descripción";"Mostrar en tienda";"Producto Físico"

# "AEROSOLES [81 productos]"
"aerosol-[clean-cotton]";"Aerosol Saphirus - Clean Cotton";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2025/01/20250110-aerosol-clean-cotton-saphirus-600x600.jpg";4500.00;NO;"Creación delicada y refrescante con toques frutados levemente dulces en la salida, acompañada de un corazón floral acuoso sobre un fondo cálido amaderado.";"SI";"SI"
"aerosol-[mango]";"Aerosol Saphirus - Mango";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2025/01/20250110-aerosol-mango-saphirus-430x430.jpg";4500.00;NO;"Fragancia de notas afrutadas de mango, ananá y frutos tropicales que conforman un delicioso aroma dulce y fresco.";"SI";"SI"
"aerosol-[peonias-y-cedro]";"Aerosol Saphirus - Peonias y Cedro";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2024/11/20241104-aerosol-peonias-y-cedro-saphirus-430x430.jpg";4500.00;NO;"Fragancia floral amaderada conformada por flores silvestres y peonías que descansan en un fondo fresco amaderado.";"SI";"SI"
"aerosol-[wanted]";"Aerosol Saphirus - Wanted";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2024/11/20241104-aerosol-wanted-saphirus-430x430.jpg";4500.00;NO;"Fragancia amaderada con una combinación de cedro, ámbar, patchouly y notas de salida de pomelo y cardamomo.";"SI";"SI"
"aerosol-[sandia-pepino]";"Aerosol Saphirus - Sandía Pepino";"Aerosoles";"[https://saphirus.com.ar/wp-content/uploads/2022/11/aerosol-sandia-pepino-430x430.jpg";4500.00;NO;"Mix frutal con salida de notas frescas de sandía y pepino. Corazón con carácter de sutiles frutos rojos y lirios del valle, cerrando con una calidez de vainilla y almizcle.";"SI";"SI"
"aerosol-[pomelo-rosado]";"Aerosol Saphirus - Pomelo Rosado";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/11/aerosol-saphirus-pomelo-rosado-430x430.jpg";4500.00;NO;"Potente aroma cítrico caracterizado por la frescura del pomelo rosado y la combinación de notas cítricas del limón y la naranja silvestre.";"SI";"SI"
"aerosol-[pera-y-durazno]";"Aerosol Saphirus - Pera y Durazno";"Aerosoles";"[https://saphirus.com.ar/wp-content/uploads/2022/11/aerosol-saphirus-pera-y-durazno-430x430.jpg";4500.00;NO;"Un splash de frutas y notas verdes en donde destacan las notas de pera y durazno.";"SI";"SI"
"aerosol-[lavanda-y-te-verde]";"Aerosol Saphirus - Lavanda y Te Verde";"Aerosoles";"[https://saphirus.com.ar/wp-content/uploads/2022/11/aerosol-saphirus-lavanda-y-te-verde-430x430.jpg";4500.00;NO;"Una esencia distinguida que surge de notas de una lavanda aromática con sutiles aromas de estragón y eucaliptus.";"SI";"SI"
